Recipes,Rating,Cook_Time,Calories,Protein,Fat,Carbs,Ingredient1,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Ingredient7,Ingredient8,Ingredient9,Ingredient10,Ingredient11,Ingredient12,Ingredient13,Ingredient14,Ingredient15,Ingredient16,Ingredient17,Ingredient18,Ingredient19,Ingredient20,Ingredient21,Ingredient22,Ingredient23,Ingredient24,Ingredient25,Ingredient26,Ingredient27,Ingredient28,Ingredient29,Ingredient30
Apple Hand Pies,4.8,25,728,9,42,82,2 tablespoons butter,2 large green apples - peeled, cored, and cut into chunks,2 tablespoons brown sugar,¼ cup white sugar,¼ teaspoon salt,1 ½ teaspoons ground cinnamon, or to taste,1 teaspoon water, or more if needed (Optional),1 pound prepared pie dough, cut into 4 pieces,1 egg,2 teaspoons milk,1 teaspoon white sugar, or as needed,,,,,,,,,,,,,
Pumpkin Cupcakes,4.6,25,237,3,10,36,2 ¼ cups all-purpose flour,1 tablespoon baking powder,1 teaspoon ground cinnamon,½ teaspoon ground nutmeg,½ teaspoon ground ginger,½ teaspoon ground cloves,½ teaspoon ground allspice,½ teaspoon baking soda,½ teaspoon salt,1 cup white sugar,½ cup butter, softened,⅓ cup brown sugar,2 large eggs, room temperature,1 cup pumpkin puree,¾ cup milk,1 (8 ounce) package cream cheese, softened,¼ cup butter, softened,3 cups confectioners' sugar,1 teaspoon vanilla extract,1 teaspoon ground cinnamon,,,,,,
Kitty Litter Cake,4.7,40,351,3,8,77,1 (15.25 ounce) package German chocolate cake mix,2 ¼ cups water, divided,1 cup vegetable oil, divided,3 large eggs,1 (15.25 ounce) package white cake mix,3 large egg whites,4 cups cold milk,2 (3.4 ounce) packages instant vanilla pudding mix,1 (12 ounce) package vanilla sandwich cookies,3 drops green food coloring,1 (12 ounce) package chewy chocolate-flavored candy (such as Tootsie Roll),1 kitty litter box and liner,1 kitty litter scoop,,,,,,,,,,,,,,,
Caramels,4.6,15,115,1,6,15,1 pint heavy whipping cream,2 cups white sugar,1 cup packed brown sugar,1 cup butter,1 cup corn syrup,1 cup evaporated milk,1 ¼ teaspoons vanilla extract,,,,,,,,,,,,,,,,,,,,,,,
Halloween Eye of Newt,4.5,10,99,7,8,2,12 eggs,1 tablespoon sweet pickle relish,1 tablespoon mayonnaise,1 pinch celery salt,1 tablespoon prepared yellow mustard,2 drops green food coloring, or as needed,1 (6 ounce) can sliced black olives, drained,,,,,,,,,,,,,,,,,,,,,
Soft Pumpkin Cookies,3.3,12,192,4,5,34,1 cup white sugar,1 tablespoon butter,1 egg, beaten,1 teaspoon vanilla extract,1 cup pumpkin puree,½ cup chopped walnuts,2 cups all-purpose flour,1 teaspoon baking powder,½ teaspoon salt,,,,,,,,,,,,,,,,,,,,
Vampiros Mexicanos (Mexican Vampires),4.7,5,143,1,0,11,1 cup ice cubes, or as needed,3 ounces sangrita (Mexican-style bloody mary mix with orange and lime),1 ½ fluid ounces silver tequila (100% agave),1 ½ ounces citrus-flavored soda (such as Squirt),½ lime, juiced,1 pinch Mexican-style chili powder with lime (such as Tajin fruit seasoning),,,,,,,,,,,,,,,,,,,,,,
Toasted Pumpkin Seeds,4.5,5,102,3,7,9,2 cups raw whole pumpkin seeds,2 tablespoons vegetable oil,1 tablespoon salt,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pumpkin Spice Cookie,4.4,15,98,2,3,17,1 (15.25 ounce) package spice cake mix,1 (15 ounce) can solid pack pumpkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pumpkin Spice Rice Krispie Treats,1,5,156,1,3,32,6 tablespoons butter, softened,1/2 cup pumpkin puree,2 (10 ounce) bags mini marshmallows,1 teaspoon vanilla extract,1 teaspoon ground cinnamon,1 teaspoon ground ginger,1/4 teaspoon ground cloves,1/4 teaspoon salt,12 cups crispy rice cereal, such as Rice Krispies®,,,,,,,,,,,,,,,,,,,
Pumpkin Whoopie Pies,4.7,30,425,3,22,56,2 cups packed brown sugar,1 cup vegetable oil,1 ½ cups solid pack pumpkin puree,2 large eggs,3 cups all-purpose flour,1 ½ tablespoons ground cinnamon,½ tablespoon ground ginger,½ tablespoon ground cloves,1 teaspoon salt,1 teaspoon baking powder,1 teaspoon baking soda,1 teaspoon vanilla extract,1 egg white,2 tablespoons milk,1 teaspoon vanilla extract,2 cups confectioners' sugar, divided,¾ cup shortening,,,,,,,,,,,,
Pumpkin Empanadas,4.6,40,384,6,19,52,3 cups all-purpose flour,⅓ cup white sugar,1 ½ teaspoons salt,¼ teaspoon baking powder,1 cup vegetable shortening,1 cup warm water,4 cups canned pure pumpkin,1 cup white sugar,2 large eggs,1 ½ teaspoons ground cinnamon,1 teaspoon salt,1 teaspoon ground ginger,½ teaspoon ground cloves,1 large beaten egg,,,,,,,,,,,,,,,,
True Bangers and Mash with Onion Gravy,4.6,15,516,14,20,50,4 links pork sausage,2 pounds potatoes, peeled and cubed,¼ cup butter,2 tablespoons milk (Optional),1 teaspoon dry mustard powder,salt and ground black pepper to taste,1 tablespoon butter,2 large onions, chopped,6 cups beef broth,2 cups red wine,,,,,,,,,,,,,,,,,,
Candy Apples,4.4,10,237,0,0,63,cooking spray,15 craft sticks,15 medium apples, washed and dried,2 cups white sugar,1 ½ cups water,1 cup light corn syrup,8 drops red food coloring,,,,,,,,,,,,,,,,,,,,,,
Cinnamon Toast Pumpkin Seeds,4.6,10,153,5,13,6,1 ½ cups pumpkin seeds,3 tablespoons butter, melted,1 teaspoon ground cinnamon,¼ teaspoon salt,2 tablespoons white sugar,,,,,,,,,,,,,,,,,,,,,,,,
Black Magic Cake,4.8,15,155,2,6,26,2 cups white sugar,1 ¾ cups all-purpose flour,¾ cup unsweetened cocoa powder,2 teaspoons baking soda,1 teaspoon baking powder,1 teaspoon salt,1 cup strong brewed coffee,1 cup buttermilk,½ cup vegetable oil,2 large eggs,1 teaspoon vanilla extract,,,,,,,,,,,,,,,,,,,
Creepy Halloween Skull Cupcakes,4.4,30,276,3,13,39,1 (15.25 ounce) package devil's food cake mix (such as Duncan Hines),1 cup water,3 eggs,⅓ cup vegetable oil,1 ½ (16 ounce) packages prepared vanilla frosting,1 (7 ounce) pouch prepared chocolate frosting,,,,,,,,,,,,,,,,,,,,,,,,
Peanut Butter Blossoms,4.8,30,116,2,6,14,1 cup shortening,1 cup peanut butter,1 cup packed brown sugar,1 ½ cups white sugar, divided,2 large eggs,¼ cup milk,2 teaspoons vanilla extract,3 ½ cups all-purpose flour,2 teaspoons baking soda,1 teaspoon salt,2 (9 ounce) bags milk chocolate candy kisses, unwrapped,,,,,,,,,,,,,,,,,
